Ticker,Date,Mean,Max,Min
Amazon,2020-01-06T00:39:25Z,0.7096,0.7096,0.7096
Amazon,2020-01-07T00:39:25Z,-0.7717,-0.7717,-0.7717
Amazon,2020-01-10T00:39:25Z,0.0,0.0,0.0
Amazon,2020-01-11T00:39:25Z,0.1779,0.1779,0.1779
Amazon,2020-01-29T00:39:25Z,0.4939,0.4939,0.4939
Amazon,2020-02-03T00:39:25Z,-0.0772,-0.0772,-0.0772
Amazon,2020-02-05T00:39:25Z,0.1779,0.1779,0.1779
Amazon,2020-02-10T00:39:25Z,0.3208,0.7845,0.0
Amazon,2020-02-15T00:39:25Z,-0.2023,-0.2023,-0.2023
Amazon,2020-02-17T00:39:25Z,0.6369,0.6369,0.6369
Amazon,2020-02-21T00:39:25Z,0.0,0.0,0.0
Amazon,2020-02-26T00:39:25Z,0.7398,0.8555,0.6369
Amazon,2020-02-28T00:39:25Z,0.158,0.4939,-0.1779
Amazon,2020-03-02T00:39:25Z,0.3774,0.4588,0.296
Amazon,2020-03-06T00:39:25Z,0.6369,0.6369,0.6369
Amazon,2020-03-11T00:39:25Z,0.0,0.0,0.0
Amazon,2020-03-16T00:39:25Z,0.3184,0.6369,0.0
Amazon,2020-03-17T00:39:25Z,-0.5106,-0.5106,-0.5106
Amazon,2020-03-18T00:39:25Z,0.2188,0.6124,-0.296
Amazon,2020-03-22T00:39:25Z,0.4404,0.4404,0.4404
Amazon,2020-03-23T00:39:25Z,0.7506,0.7506,0.7506
Amazon,2020-03-24T00:39:25Z,0.0,0.0,0.0
Amazon,2020-03-28T00:39:25Z,0.1779,0.1779,0.1779
Amazon,2020-04-15T00:39:25Z,0.0718,0.6369,-0.128
Amazon,2020-04-16T00:39:25Z,0.296,0.296,0.296
Amazon,2020-04-19T00:39:25Z,0.0,0.0,0.0
Amazon,2020-04-20T00:39:25Z,0.6369,0.6369,0.6369
Amazon,2020-04-24T00:39:25Z,0.2349,0.6369,-0.569
Amazon,2020-04-28T00:39:25Z,0.6369,0.6369,0.6369
Amazon,2020-05-01T00:39:25Z,-0.2732,-0.2732,-0.2732
Amazon,2020-05-05T00:39:25Z,0.3981,0.6369,0.0
Amazon,2020-05-15T00:39:25Z,0.0,0.0,0.0
Amazon,2020-05-19T00:39:25Z,0.0,0.0,0.0
Amazon,2020-05-21T00:39:25Z,0.0124,0.1779,-0.1531
Amazon,2020-05-24T00:39:25Z,0.1779,0.1779,0.1779
Amazon,2020-06-03T00:39:25Z,0.8555,0.8555,0.8555
Amazon,2020-06-05T00:39:25Z,0.0,0.0,0.0
Amazon,2020-06-10T00:39:25Z,0.1027,0.1027,0.1027
Amazon,2020-06-13T00:39:25Z,0.2263,0.2263,0.2263
Amazon,2020-06-15T00:39:25Z,0.1779,0.1779,0.1779
Amazon,2020-06-17T00:39:25Z,0.0,0.0,0.0
Amazon,2020-06-24T00:39:25Z,0.4404,0.4404,0.4404
Amazon,2020-06-29T00:39:25Z,0.1779,0.1779,0.1779
Amazon,2020-06-30T00:39:25Z,0.7579,0.7579,0.7579
Amazon,2020-07-02T00:39:25Z,0.1779,0.1779,0.1779
Amazon,2020-07-04T00:39:25Z,0.6249,0.6249,0.6249
Amazon,2020-07-09T00:39:25Z,0.2591,0.2919,0.2263
Amazon,2020-07-10T00:39:25Z,0.2863,0.5726,0.0
Amazon,2020-07-15T00:39:25Z,-0.112,0.1779,-0.4019
Amazon,2020-07-17T00:39:25Z,0.1779,0.1779,0.1779
Amazon,2020-07-21T00:39:25Z,0.2295,0.5106,-0.0516
Amazon,2020-07-22T00:39:25Z,0.1779,0.1779,0.1779
Amazon,2020-07-23T00:39:25Z,0.2716,0.2716,0.2716
Amazon,2020-07-26T00:39:25Z,0.7096,0.7096,0.7096
Amazon,2020-07-30T00:39:25Z,0.1779,0.1779,0.1779
Amazon,2020-07-31T00:39:25Z,-0.064,0.0,-0.128
